Magnetometer,version=1,hw_revision=1,timescale=1000000
Type,Mode,Timestamp(sec),x,y,z
3,1,35.235,12.7716064453125,-19.99053955078125,-14.33258056640625
3,1,35.44,9.4482421875,-22.10540771484375,-15.81878662109375
3,1,35.637,17.0684814453125,-21.6156005859375,-10.2020263671875
3,1,35.839,14.739990234375,-21.0052490234375,-14.166259765625
3,1,36.04,11.16180419921875,-18.572998046875,-15.3228759765625
3,1,36.248,12.6861572265625,-21.2127685546875,-14.9932861328125
3,1,36.453,12.7288818359375,-21.97113037109375,-14.33258056640625
3,1,36.655,13.97705078125,-23.79150390625,-13.836669921875
3,1,36.846,12.0513916015625,-20.7977294921875,-14.00146484375
3,1,37.047,14.2730712890625,-20.8831787109375,-15.1580810546875
3,1,37.25,10.44158935546875,-22.11761474609375,-17.6361083984375
3,1,37.451,16.0308837890625,-23.58245849609375,-13.0096435546875
3,1,37.663,13.57574462890625,-20.7000732421875,-13.671875
3,1,37.853,8.98284912109375,-21.98333740234375,-18.792724609375
3,1,38.054,12.87689208984375,-20.5169677734375,-14.49737548828125
3,1,38.257,11.65008544921875,-20.4437255859375,-15.48919677734375
3,1,38.459,12.24212646484375,-20.1019287109375,-14.49737548828125
3,1,38.66,13.80767822265625,-20.7611083984375,-12.18414306640625
3,1,38.86,11.8194580078125,-20.7366943359375,-14.8284912109375
3,1,39.062,13.89312744140625,-22.27630615234375,-12.18414306640625
3,1,39.275,10.29510498046875,-20.8343505859375,-17.80242919921875
3,1,39.464,10.760498046875,-20.9564208984375,-14.8284912109375
3,1,39.668,14.654541015625,-19.49005126953125,-12.8448486328125
3,1,39.868,12.7288818359375,-21.97113037109375,-14.9932861328125
3,1,40.07,16.28570556640625,-19.91729736328125,-12.01934814453125
3,1,40.27,8.94012451171875,-21.2249755859375,-17.4713134765625
3,1,40.473,13.57574462890625,-20.7000732421875,-13.34075927734375
3,1,40.672,16.7510986328125,-20.0408935546875,-12.01934814453125
3,1,40.875,15.863037109375,-20.5535888671875,-12.01934814453125
3,1,41.076,12.96234130859375,-22.03216552734375,-13.50555419921875
3,1,41.282,15.65093994140625,-19.50225830078125,-13.0096435546875
3,1,41.481,11.6912841796875,-18.463134765625,-14.166259765625
3,1,41.683,12.0513916015625,-20.7977294921875,-14.00146484375
3,1,41.881,12.835693359375,-22.49603271484375,-13.17596435546875
3,1,42.084,14.90936279296875,-21.2982177734375,-11.85302734375
3,1,42.284,13.0889892578125,-21.56829833984375,-13.17596435546875
3,1,42.485,14.86663818359375,-20.5413818359375,-12.18414306640625
3,1,42.688,6.63299560546875,-19.62432861328125,-17.6361083984375
3,1,42.889,11.798095703125,-21.7254638671875,-14.9932861328125
3,1,43.092,13.6810302734375,-21.2249755859375,-14.8284912109375
3,1,43.291,13.27972412109375,-20.8709716796875,-14.66217041015625
3,1,43.493,13.21563720703125,-21.1029052734375,-15.1580810546875
3,1,43.694,11.7767333984375,-19.97833251953125,-17.1417236328125
3,1,43.896,11.60736083984375,-22.42279052734375,-14.166259765625
3,1,44.097,11.28997802734375,-20.8465576171875,-15.985107421875
3,1,44.298,12.8143310546875,-20.7489013671875,-14.66217041015625
3,1,44.499,12.4542236328125,-21.1517333984375,-13.50555419921875
3,1,44.712,14.44244384765625,-21.17767333984375,-14.49737548828125
3,1,44.902,14.21051025390625,-21.1151123046875,-12.6800537109375
3,1,45.106,14.82391357421875,-19.78302001953125,-13.17596435546875
3,1,45.308,15.26947021484375,-20.8953857421875,-12.01934814453125
3,1,45.507,13.57574462890625,-20.7000732421875,-14.66217041015625
3,1,45.707,14.57061767578125,-23.44818115234375,-11.5234375
3,1,45.911,16.60308837890625,-21.49505615234375,-9.87091064453125
3,1,46.11,16.58172607421875,-19.74639892578125,-12.34893798828125
3,1,46.316,14.48516845703125,-19.19708251953125,-12.5152587890625
3,1,46.523,15.0360107421875,-20.8343505859375,-10.86273193359375
3,1,46.715,17.15240478515625,-20.3948974609375,-9.539794921875
3,1,46.918,12.19940185546875,-19.342041015625,-14.8284912109375
3,1,47.121,15.6280517578125,-20.4925537109375,-10.2020263671875
3,1,47.32,12.6861572265625,-18.475341796875,-13.671875
3,1,47.523,14.93072509765625,-20.3094482421875,-11.358642578125
3,1,47.73,11.395263671875,-21.37298583984375,-15.48919677734375
3,1,47.925,14.21051025390625,-21.1151123046875,-15.65399169921875
3,1,48.125,17.3004150390625,-21.6766357421875,-8.3831787109375
3,1,48.329,15.11993408203125,-22.35107421875,-13.836669921875
3,1,48.528,20.306396484375,-20.7244873046875,-5.40924072265625
3,1,48.734,12.83416748046875,-19.75860595703125,-14.49737548828125
3,1,48.942,11.43798828125,-22.12982177734375,-15.81878662109375
3,1,49.132,12.7288818359375,-21.97113037109375,-14.66217041015625
3,1,49.337,11.83929443359375,-19.74639892578125,-16.314697265625
3,1,49.535,15.20538330078125,-21.1273193359375,-11.5234375
3,1,49.736,13.427734375,-22.15423583984375,-13.836669921875
3,1,49.943,13.61846923828125,-21.4569091796875,-14.66217041015625
3,1,50.145,12.79296875,-21.73919677734375,-15.48919677734375
3,1,50.34,13.51165771484375,-23.66790771484375,-15.1580810546875
3,1,50.542,13.02490234375,-21.80023193359375,-13.34075927734375
3,1,50.743,14.48516845703125,-21.93450927734375,-13.836669921875
3,1,50.946,19.5220947265625,-21.76361083984375,-7.88726806640625
3,1,51.157,11.4593505859375,-21.1395263671875,-15.985107421875
3,1,51.362,11.50054931640625,-21.89788818359375,-16.97540283203125
3,1,51.549,12.62359619140625,-21.44622802734375,-15.81878662109375
3,1,51.752,13.0035400390625,-20.05157470703125,-14.8284912109375
3,1,51.953,10.29510498046875,-20.8343505859375,-14.49737548828125
3,1,52.154,12.89825439453125,-22.26409912109375,-14.00146484375
3,1,52.356,13.4918212890625,-19.183349609375,-12.34893798828125
3,1,52.556,10.5072021484375,-21.88568115234375,-16.14990234375
3,1,52.758,11.1846923828125,-20.32012939453125,-16.4794921875
3,1,52.96,14.697265625,-22.98431396484375,-14.166259765625
3,1,53.163,13.21563720703125,-21.1029052734375,-13.836669921875
3,1,53.363,13.702392578125,-20.2362060546875,-14.9932861328125
3,1,53.565,12.60223388671875,-19.69757080078125,-14.66217041015625
3,1,53.764,9.405517578125,-21.3470458984375,-16.81060791015625
3,1,53.967,11.88201904296875,-20.5047607421875,-14.9932861328125
3,1,54.168,12.4755859375,-20.16143798828125,-15.3228759765625
3,1,54.369,12.53814697265625,-19.92950439453125,-13.50555419921875
3,1,54.57,14.0838623046875,-21.58050537109375,-13.0096435546875
3,1,54.771,16.009521484375,-21.83685302734375,-14.8284912109375
3,1,54.974,11.96746826171875,-22.01995849609375,-14.00146484375
3,1,55.175,16.28570556640625,-19.91729736328125,-10.6964111328125
3,1,55.376,14.59197998046875,-22.45941162109375,-12.34893798828125
3,1,55.577,14.739990234375,-21.0052490234375,-12.8448486328125
3,1,55.779,17.63916015625,-19.52667236328125,-10.3668212890625
3,1,55.981,16.56036376953125,-20.7366943359375,-10.5316162109375
3,1,56.207,13.0462646484375,-20.8099365234375,-14.49737548828125
3,1,56.383,14.2730712890625,-20.8831787109375,-14.166259765625
3,1,56.584,14.33868408203125,-20.6512451171875,-12.6800537109375
3,1,56.786,19.22760009765625,-19.19708251953125,-7.88726806640625
3,1,56.988,17.364501953125,-21.4447021484375,-10.5316162109375
3,1,57.188,16.9830322265625,-20.1019287109375,-11.85302734375
3,1,57.39,10.845947265625,-19.73419189453125,-16.81060791015625
