Fusion,version=1,hw_revision=1,timescale=1000000
Type,Mode,Timestamp(sec),Yaw,Pitch,Roll
250,0,68.777,142.475341796875,-2.496453523635864,179.1771697998047
250,0,68.786,142.4339447021484,-2.540253639221191,179.0288848876953
250,0,68.794,142.4392547607422,-2.720893859863281,178.9233856201172
250,0,68.81100000000001,142.4339447021484,-2.540253639221191,179.0288848876953
250,0,68.812,142.4823150634766,-2.691936492919922,179.0663604736328
250,0,68.81999999999999,142.4823150634766,-2.691936492919922,179.0663604736328
250,0,68.828,142.4358825683594,-2.559428691864014,179.0215606689453
250,0,68.836,142.2997894287109,-2.379109621047974,178.7495880126953
250,0,68.845,142.2997894287109,-2.379109621047974,178.7495880126953
250,0,68.845,142.1190185546875,-2.075239896774292,178.4282836914063
250,0,68.851,142.1190185546875,-2.075239896774292,178.4282836914063
250,0,68.863,142.0351257324219,-2.052813291549683,178.1949005126953
250,0,68.87,142.0351257324219,-2.052813291549683,178.1949005126953
250,0,68.871,140.8635101318359,-2.052813291549683,178.1949005126953
250,0,68.877,140.8321685791016,-2.08409309387207,178.0557403564453
250,0,68.887,140.9367980957031,-2.257060289382935,178.3237609863281
250,0,68.895,141.0434112548828,-2.422814846038818,178.6001892089844
250,0,68.90300000000001,141.0434112548828,-2.422814846038818,178.6001892089844
250,0,68.91200000000001,141.0344390869141,-2.135699033737183,178.7662811279297
250,0,68.92,141.004638671875,-2.258981227874756,178.5716552734375
250,0,68.93000000000001,141.1437835693359,-2.313879251480103,179.0377655029297
250,0,68.938,141.1515350341797,-2.589138269424438,178.8777923583984
250,0,68.946,141.1625518798828,-3.054839849472046,178.6081237792969
250,0,68.953,141.1625518798828,-3.054839849472046,178.6081237792969
250,0,68.96299999999999,141.3058319091797,-3.18321681022644,179.0339050292969
250,0,68.98,141.2972869873047,-2.804741144180298,179.2514953613281
250,0,68.982,141.2666015625,-2.953867435455322,179.0447692871094
250,0,68.988,141.2557830810547,-2.564459085464478,179.2659301757813
250,0,68.996,141.300048828125,-2.903352499008179,179.1960296630859
250,0,69.003,141.300048828125,-2.903352499008179,179.1960296630859
250,0,69.017,141.1505737304688,-2.574618339538574,178.8840942382813
250,0,69.021,141.1841278076172,-2.535505771636963,179.0307006835938
250,0,69.029,141.1117553710938,-2.423778533935547,178.8470458984375
250,0,69.04000000000001,141.0103149414063,-2.452749013900757,178.4590148925781
250,0,69.05,141.0103149414063,-2.452749013900757,178.4590148925781
250,0,69.05200000000001,141.0018005371094,-2.174740314483643,178.6198577880859
250,0,69.062,141.0018005371094,-2.174740314483643,178.6198577880859
250,0,69.06699999999999,141.0048370361328,-2.271673917770386,178.5636138916016
250,0,69.072,141.0377502441406,-2.236765623092651,178.7078857421875
250,0,69.072,143.0270233154297,-2.236765623092651,178.7078857421875
250,0,69.078,142.8938293457031,-2.028366088867188,178.58056640625
250,0,69.08799999999999,143.0847778320313,-2.185185432434082,178.8612823486328
250,0,69.096,142.8993530273438,-2.133035898208618,178.5186004638672
250,0,69.107,142.8993530273438,-2.133035898208618,178.5186004638672
250,0,69.113,143.0906677246094,-2.286250829696655,178.8033447265625
250,0,69.122,143.0364990234375,-2.409252882003784,178.6080322265625
250,0,69.128,142.95751953125,-2.082035064697266,178.6735076904297
250,0,69.14100000000001,142.8357849121094,-2.075239896774292,178.4282836914063
250,0,69.14700000000001,143.0265655517578,-2.228403329849243,178.7127227783203
250,0,69.155,143.0265655517578,-2.228403329849243,178.7127227783203
250,0,69.164,143.0960693359375,-2.383573055267334,178.7472381591797
250,0,69.182,142.973388671875,-2.360181570053101,178.5126647949219
250,0,69.18300000000001,142.9782409667969,-2.448171138763428,178.4618988037109
250,0,69.18899999999999,143.1654510498047,-2.535279035568237,178.7843933105469
250,0,69.197,143.1654510498047,-2.535279035568237,178.7843933105469
250,0,69.20399999999999,143.0319366455078,-2.325353384017944,178.6565551757813
250,0,69.214,142.9572601318359,-2.074276447296143,178.6784515380859
250,0,69.22199999999999,143.0309753417969,-2.308058500289917,178.6665649414063
250,0,69.229,143.0906677246094,-2.286250829696655,178.8033447265625
250,0,69.239,143.1510467529297,-2.259829044342041,178.9441986083984
250,0,69.248,143.1510467529297,-2.259829044342041,178.9441986083984
250,0,69.249,143.1510467529297,-2.259829044342041,178.9441986083984
250,0,69.254,143.4722595214844,-2.515697479248047,179.41552734375
250,0,69.26900000000001,143.48095703125,-2.628253936767578,179.35693359375
250,0,69.273,143.2289886474609,-2.584277868270874,178.8798980712891
250,0,69.274,143.9472961425781,-2.584277868270874,178.8798980712891
250,0,69.28,143.9438018798828,-2.481871128082275,178.937744140625
250,0,69.289,143.8342742919922,-2.18111515045166,178.8634033203125
250,0,69.3,143.8342742919922,-2.18111515045166,178.8634033203125
250,0,69.304,143.8349761962891,-2.193374633789063,178.8569946289063
250,0,69.315,143.8416595458984,-2.392553806304932,178.7425079345703
250,0,69.32299999999999,143.7806396484375,-2.062175750732422,178.8087768554688
250,0,69.33199999999999,143.7803649902344,-2.054420709609985,178.8132629394531
250,0,69.346,143.6803283691406,-2.043650150299072,178.5698547363281
250,0,69.35299999999999,143.6803283691406,-2.043650150299072,178.5698547363281
250,0,69.355,143.7382049560547,-2.267428636550903,178.5662994384766
250,0,69.366,143.8407440185547,-2.37466287612915,178.7519226074219
250,0,69.374,143.7865295410156,-2.232576608657837,178.7102966308594
250,0,69.38,143.7865295410156,-2.232576608657837,178.7102966308594
250,0,69.393,143.7861022949219,-2.220100164413452,178.7175140380859
250,0,69.399,143.7833709716797,-2.139699220657349,178.7639617919922
250,0,69.405,143.83154296875,-2.096470355987549,178.9127960205078
250,0,69.416,143.7412261962891,-2.360181570053101,178.5126647949219
250,0,69.42700000000001,143.7895202636719,-2.325353384017944,178.6565551757813
